County,Heat,Wet Bulb,Farm Crop Yields,Sea Level Rise,Very Large Fires,Economic Damages,Total Risk Score
"Cleburne County, AR",6,2,8,1,3,4,24
"Cross County, AR",6,6,8,1,1,4,26
"Desha County, AR",7,5,7,1,1,5,26
"Drew County, AR",7,2,8,1,1,5,24
"Fulton County, AR",6,4,8,1,2,4,25
"Johnson County, AR",7,2,8,1,2,4,24
"Lafayette County, AR",7,2,8,1,1,5,24
"Nevada County, AR",6,2,10,1,1,4,24
"Pope County, AR",7,2,8,1,2,4,24
"Yell County, AR",7,2,8,1,2,4,24
"Ashley County, AR",7,2,8,1,1,5,24
"Baxter County, AR",6,2,8,1,2,4,23
"Benton County, AR",6,2,8,1,2,4,23
"Clay County, AR",6,5,8,1,1,4,25
"Greene County, AR",6,4,8,1,1,4,24
"Independence County, AR",6,2,8,1,2,4,23
"Lee County, AR",7,4,8,1,1,4,25
"Perry County, AR",6,2,8,1,2,4,23
"St. Francis County, AR",6,4,8,1,1,4,24
"Washington County, AR",6,2,8,1,3,4,24
"Woodruff County, AR",7,4,8,1,1,4,25
"Arkansas County, AR",7,2,7,1,1,5,23
"Cleveland County, AR",6,2,8,1,1,4,22
"Izard County, AR",6,1,8,1,2,4,22
"Lincoln County, AR",7,2,7,1,1,5,23
"Prairie County, AR",7,2,8,1,1,4,23
"Jackson County, AR",6,2,8,1,1,4,22
"Monroe County, AR",7,2,7,1,1,4,22
"Phillips County, AR",7,2,7,1,1,4,22
"Dallas County, AR",6,7,1,1,1,4,20
"Bradley County, AR",7,4,1,1,1,5,19
"Garland County, AR",7,4,1,1,2,4,19
"Ouachita County, AR",7,4,1,1,1,5,19
"Van Buren County, AR",6,5,1,1,2,4,19
"Columbia County, AR",7,2,1,1,1,5,17
"Howard County, AR",7,4,1,1,1,4,18
"Montgomery County, AR",6,4,1,1,2,4,18
"Pike County, AR",7,4,1,1,1,4,18
"Polk County, AR",7,2,1,1,2,4,17
"Scott County, AR",7,2,1,1,2,4,17
"Sharp County, AR",6,4,1,1,2,4,18
"Union County, AR",7,2,1,1,1,5,17
"Calhoun County, AR",6,2,1,1,1,5,16
"Searcy County, AR",6,2,1,1,2,4,16
"Sevier County, AR",7,2,1,1,1,4,16
"Carroll County, AR",4,2,1,1,2,4,14
"Madison County, AR",4,2,1,1,2,4,14
"Stone County, AR",6,1,1,1,2,4,15
"Boone County, AR",4,1,1,1,2,4,13
"Marion County, AR",4,1,1,1,2,4,13
"Newton County, AR",3,1,1,1,2,4,12
"Pinal County, AZ",10,6,8,1,6,7,38
"Graham County, AZ",10,2,8,1,8,6,35
"Cochise County, AZ",7,2,8,1,9,6,33
"Mohave County, AZ",10,6,1,1,9,7,34
"Maricopa County, AZ",10,7,8,1,1,6,33
"Yuma County, AZ",10,7,8,1,1,6,33
"Gila County, AZ",10,5,1,1,7,5,29
"Yavapai County, AZ",4,1,7,1,7,5,25
"Greenlee County, AZ",7,1,6,1,6,5,26
"Pima County, AZ",10,2,1,1,7,6,27
"La Paz County, AZ",10,7,1,1,1,7,27
"Navajo County, AZ",7,1,4,1,6,5,24
"Coconino County, AZ",3,1,1,1,9,5,20
"Santa Cruz County, AZ",9,1,1,1,6,5,23
"Apache County, AZ",4,1,1,1,6,5,18
"Fresno County, CA",9,4,8,1,8,5,35
"Tehama County, CA",9,4,8,1,7,5,34
"Shasta County, CA",7,4,6,1,9,5,32
"Imperial County, CA",10,7,8,1,1,5,32
"Madera County, CA",7,2,8,1,6,5,29
"Amador County, CA",7,2,8,1,6,5,29
"Butte County, CA",6,2,8,1,6,5,28
"Riverside County, CA",10,6,8,1,1,5,31
"El Dorado County, CA",4,2,6,1,8,5,26
"San Bernardino County, CA",10,5,8,1,1,5,30
"Merced County, CA",9,2,4,1,6,5,27
"Nevada County, CA",4,2,6,1,7,5,25
"Placer County, CA",4,2,5,1,7,5,24
"Tulare County, CA",9,2,8,1,1,5,26
"Glenn County, CA",7,2,8,1,1,5,24
"Kings County, CA",9,2,8,1,1,5,26
"Los Angeles County, CA",4,2,4,3,6,5,24
"Mendocino County, CA",4,1,3,3,8,5,24
"Modoc County, CA",4,1,4,1,9,4,23
"Santa Barbara County, CA",7,2,3,3,6,4,25
"Trinity County, CA",7,4,1,1,9,4,26
"Tuolumne County, CA",4,1,5,1,7,5,23
"Yolo County, CA",9,2,4,4,3,5,27
"Colusa County, CA",7,2,8,1,1,5,24
"San Diego County, CA",3,1,4,4,6,5,23
"Solano County, CA",9,2,3,4,3,5,26
"Sonoma County, CA",6,5,3,4,3,5,26
"Santa Clara County, CA",3,2,3,4,6,5,23
"Siskiyou County, CA",6,1,1,1,10,4,23
"Lassen County, CA",4,1,1,1,10,4,21
"Sacramento County, CA",7,2,4,4,1,5,23
"San Benito County, CA",4,2,3,1,6,5,21
"San Joaquin County, CA",7,2,4,4,1,5,23
"San Luis Obispo County, CA",3,1,3,3,6,5,21
"Sutter County, CA",7,2,6,1,1,5,22
"Yuba County, CA",4,2,8,1,1,5,21
"Kern County, CA",4,1,8,1,1,5,20
"Orange County, CA",4,2,3,4,3,5,21
"Plumas County, CA",4,1,1,1,9,4,20
"Lake County, CA",7,1,1,1,6,5,21
"Napa County, CA",4,1,3,3,4,5,20
"Stanislaus County, CA",7,2,4,1,1,5,20
"Ventura County, CA",3,2,1,3,6,5,20
"Contra Costa County, CA",6,1,3,3,2,5,20
"Inyo County, CA",10,4,1,1,1,5,22
"Mariposa County, CA",4,1,1,1,6,5,18
"San Mateo County, CA",3,1,3,7,2,4,20
"Sierra County, CA",4,1,1,1,7,4,18
"Calaveras County, CA",3,1,1,1,6,5,17
"Monterey County, CA",4,2,3,3,1,5,18
"Alameda County, CA",6,1,1,4,3,4,19
"Mono County, CA",3,1,1,1,6,4,16
"Alpine County, CA",3,1,1,1,6,4,16
"Humboldt County, CA",1,1,3,4,1,4,14
"Marin County, CA",4,1,1,4,1,4,15
"San Francisco County, CA",3,2,1,4,1,4,15
"Del Norte County, CA",1,1,1,4,1,4,12
"Santa Cruz County, CA",3,1,1,3,1,4,13
"Mesa County, CO",7,2,4,1,7,4,25
"Baca County, CO",7,2,6,1,3,5,24
"Prowers County, CO",7,2,7,1,2,5,24
"Bent County, CO",7,2,6,1,2,5,23
"Cheyenne County, CO",7,2,5,1,2,5,22
"Kiowa County, CO",7,2,5,1,2,5,22
"Otero County, CO",7,1,5,1,2,5,21
"Crowley County, CO",7,1,4,1,2,5,20
"Larimer County, CO",4,1,3,1,6,4,19
"Las Animas County, CO",4,1,3,1,6,4,19
"Montezuma County, CO",4,1,3,1,6,4,19
"Montrose County, CO",3,1,3,1,6,4,18
"Boulder County, CO",4,1,3,1,5,4,18
"Delta County, CO",4,1,3,1,5,4,18
"Kit Carson County, CO",7,2,4,1,1,4,19
"La Plata County, CO",3,1,3,1,6,4,18
"Moffat County, CO",6,1,1,1,6,4,19
"Pueblo County, CO",7,1,3,1,3,4,19
"Dolores County, CO",4,1,3,1,4,4,17
"Garfield County, CO",4,1,1,1,6,4,17
"Logan County, CO",6,2,4,1,1,4,18
"Rio Blanco County, CO",4,1,1,1,6,4,17
"Adams County, CO",6,1,3,1,2,4,17
"Arapahoe County, CO",6,1,3,1,2,4,17
"Broomfield County, CO",6,1,3,1,2,4,17
"Jefferson County, CO",3,1,3,1,4,4,16
"Lincoln County, CO",4,1,3,1,3,4,16
"Morgan County, CO",6,1,4,1,1,4,17
"Sedgwick County, CO",6,1,4,1,1,4,17
"Washington County, CO",6,1,4,1,1,4,17
"Weld County, CO",4,1,3,1,3,4,16
"Yuma County, CO",6,1,4,1,1,4,17
"Archuleta County, CO",3,1,1,1,6,4,16
"Douglas County, CO",3,1,3,1,3,4,15
"Elbert County, CO",4,1,3,1,2,4,15
"Fremont County, CO",3,1,1,1,6,4,16
"Gunnison County, CO",1,1,1,1,6,4,14
"Phillips County, CO",4,1,4,1,1,4,15
"Routt County, CO",3,1,1,1,6,4,16
"El Paso County, CO",3,1,3,1,2,4,14
"Huerfano County, CO",4,1,1,1,4,4,15
"Saguache County, CO",3,1,1,1,5,4,15
"Eagle County, CO",3,1,1,1,4,4,14
"San Miguel County, CO",3,1,1,1,4,4,14
"Conejos County, CO",3,1,1,1,3,4,13
"Costilla County, CO",3,1,1,1,3,4,13
"Custer County, CO",3,1,1,1,3,4,13
"Denver County, CO",4,1,1,1,2,4,13
"Jackson County, CO",3,1,1,1,3,4,13
"Pitkin County, CO",3,1,1,1,3,4,13
"Teller County, CO",3,1,1,1,3,4,13
"Alamosa County, CO",3,1,1,1,2,4,12
"Chaffee County, CO",1,1,1,1,3,4,11
"Mineral County, CO",1,1,1,1,3,4,11
"Ouray County, CO",1,1,1,1,3,4,11
"Rio Grande County, CO",1,1,1,1,3,4,11
"Clear Creek County, CO",1,1,1,1,2,4,10
"Gilpin County, CO",1,1,1,1,2,4,10
"Hinsdale County, CO",3,1,1,1,3,2,11
"Lake County, CO",1,1,1,1,2,4,10
"Park County, CO",1,1,1,1,5,1,10
"San Juan County, CO",1,1,1,1,2,4,10
"Grand County, CO",1,1,1,1,3,2,9
"Summit County, CO",1,1,1,1,2,3,9
"Fairfield County, CT",3,5,1,4,1,5,19
"Middlesex County, CT",3,5,1,4,1,4,18
"New Haven County, CT",3,5,1,4,1,4,18
"Hartford County, CT",4,5,1,1,1,4,16
"New London County, CT",3,2,1,4,1,4,15
"Tolland County, CT",3,4,1,1,1,4,14
"Windham County, CT",3,4,1,1,1,4,14
"Litchfield County, CT",3,2,1,1,1,4,12
"District of Columbia, DC",6,2,1,3,1,4,17
"Kent County, DE",4,4,5,4,3,4,24
"Sussex County, DE",4,4,5,6,1,5,25
"New Castle County, DE",4,2,4,3,1,4,18
"Wakulla County, FL",7,9,8,4,1,9,38
"Marion County, FL",9,4,8,3,4,8,36
"Miami-Dade County, FL",4,5,8,4,6,8,35
"Palm Beach County, FL",4,4,8,4,6,8,34
"Dixie County, FL",7,6,7,4,1,10,35
"St. Johns County, FL",6,6,8,4,2,8,34
"Taylor County, FL",7,6,8,4,1,8,34
"Volusia County, FL",4,6,8,4,3,9,34
"Duval County, FL",6,6,7,4,3,8,34
"Glades County, FL",9,1,8,3,3,9,33
"Levy County, FL",6,4,8,4,1,10,33
"Pasco County, FL",9,5,8,3,3,7,35
"Gilchrist County, FL",6,5,8,3,2,8,32
"Lafayette County, FL",7,5,8,1,2,8,31
"Lake County, FL",6,2,8,4,3,8,31
"Putnam County, FL",4,2,8,4,3,9,30
"Baker County, FL",6,4,8,1,3,8,30
"Collier County, FL",6,4,8,4,1,8,31
"Flagler County, FL",4,4,8,4,2,8,30
"Highlands County, FL",9,1,8,1,3,8,30
"Leon County, FL",7,7,8,1,1,7,31
"Madison County, FL",7,5,8,1,2,8,31
"Polk County, FL",7,2,8,1,5,6,29
"Suwannee County, FL",7,5,8,1,1,8,30
"Columbia County, FL",6,4,8,1,3,7,29
"Hamilton County, FL",7,4,8,1,1,8,29
"Jefferson County, FL",7,7,5,1,2,8,30
"Liberty County, FL",4,5,8,3,1,8,29
"Union County, FL",6,4,8,1,2,8,29
"Alachua County, FL",6,2,8,1,3,7,27
"Bay County, FL",4,4,8,4,1,7,28
"Bradford County, FL",6,2,8,1,2,8,27
"Clay County, FL",6,5,3,4,3,9,30
"Gadsden County, FL",7,4,8,1,1,7,28
"Hardee County, FL",9,2,8,1,3,5,28
"Hillsborough County, FL",6,4,8,4,3,5,30
"Charlotte County, FL",9,6,1,4,2,8,30
"Monroe County, FL",4,5,1,7,4,8,29
"Broward County, FL",4,4,1,4,6,8,27
"DeSoto County, FL",9,5,1,4,2,8,29
"Escambia County, FL",4,7,3,3,1,8,26
"Franklin County, FL",4,6,1,4,2,10,27
"Lee County, FL",9,6,1,4,1,8,29
"Nassau County, FL",6,6,1,4,3,8,28
"Santa Rosa County, FL",4,7,3,4,1,8,27
"Walton County, FL",6,4,3,4,3,8,28
"Washington County, FL",4,2,6,3,1,9,25
"Citrus County, FL",9,4,1,4,1,9,28
"Hernando County, FL",9,5,1,4,1,8,28
"Martin County, FL",4,6,1,4,3,8,26
"Calhoun County, FL",4,2,5,1,1,9,22
"Jackson County, FL",4,2,8,1,1,6,22
"Okaloosa County, FL",6,5,3,3,2,7,26
"Hendry County, FL",6,4,1,1,3,9,24
"Okeechobee County, FL",9,2,1,1,3,8,24
"Pinellas County, FL",6,7,1,4,1,6,25
"St. Lucie County, FL",4,5,1,4,2,8,24
"Sumter County, FL",9,4,1,1,2,8,25
"Gulf County, FL",4,4,1,3,1,10,23
"Holmes County, FL",4,2,4,1,1,8,20
"Brevard County, FL",4,1,1,4,3,8,21
"Orange County, FL",7,2,1,3,3,6,22
"Osceola County, FL",6,2,1,1,3,8,21
"Seminole County, FL",7,4,1,3,2,6,23
"Indian River County, FL",4,1,1,4,2,8,20
"Sarasota County, FL",7,4,1,4,1,5,22
"Manatee County, FL",7,4,1,4,1,4,21
"Camden County, GA",6,9,8,4,2,8,37
"Charlton County, GA",9,6,8,1,3,8,35
"Liberty County, GA",7,9,9,4,2,6,37
"Effingham County, GA",6,6,9,3,3,7,34
"Bryan County, GA",7,2,8,4,3,8,32
"Glynn County, GA",6,5,8,6,1,8,34
"Ware County, GA",7,5,9,1,3,7,32
"Brantley County, GA",7,4,9,1,2,8,31
"Long County, GA",7,4,8,1,3,8,31
"Echols County, GA",7,4,8,1,2,8,30
"Pierce County, GA",7,2,9,1,3,6,28
"Screven County, GA",7,2,8,1,3,6,27
"Appling County, GA",7,4,8,1,3,5,28
"Atkinson County, GA",7,2,9,1,2,6,27
"Bacon County, GA",7,2,9,1,3,5,27
"Berrien County, GA",7,2,9,1,2,6,27
"Clinch County, GA",7,2,8,1,3,6,27
"Evans County, GA",7,2,9,1,1,6,26
"Lanier County, GA",7,2,8,1,2,6,26
"McIntosh County, GA",6,9,1,4,2,9,31
"Wayne County, GA",7,4,8,1,3,5,28
"Baker County, GA",7,4,8,1,1,6,27
"Candler County, GA",7,2,8,1,1,6,25
"Cook County, GA",7,2,9,1,1,6,26
"Grady County, GA",7,5,8,1,1,5,27
"Jeff Davis County, GA",7,2,9,1,2,5,26
"Jenkins County, GA",6,2,9,1,1,6,25
"Montgomery County, GA",7,2,8,1,1,6,25
"Seminole County, GA",7,2,8,1,1,7,26
"Thomas County, GA",7,4,8,1,1,6,27
"Treutlen County, GA",7,2,9,1,1,6,26
"Wheeler County, GA",7,2,9,1,1,6,26
"Bulloch County, GA",7,2,8,1,1,6,25
"Coffee County, GA",7,2,9,1,1,5,25
"Decatur County, GA",7,2,8,1,1,6,25
"Johnson County, GA",7,2,8,1,1,6,25
"Lowndes County, GA",7,2,7,1,3,6,26
"Tattnall County, GA",7,2,8,1,1,6,25
"Worth County, GA",7,2,8,1,1,6,25
"Ben Hill County, GA",6,2,9,1,1,5,24
"Bibb County, GA",7,2,8,1,1,5,24
"Brooks County, GA",7,4,5,1,1,7,25
"Burke County, GA",7,2,8,1,1,5,24
"Catoosa County, GA",6,2,8,1,2,5,24
"Clay County, GA",6,2,8,1,1,6,24
"Crawford County, GA",7,2,8,1,1,5,24
"Dougherty County, GA",7,2,8,1,1,5,24
"Houston County, GA",7,2,8,1,1,5,24
"Laurens County, GA",7,2,8,1,1,5,24
"Lee County, GA",7,2,8,1,1,5,24
"Mitchell County, GA",7,2,8,1,1,5,24
"Peach County, GA",7,2,8,1,1,5,24
"Richmond County, GA",7,2,8,1,1,5,24
"Telfair County, GA",6,2,9,1,1,5,24
"Toombs County, GA",7,2,8,1,1,5,24
"Twiggs County, GA",7,2,8,1,1,5,24
"Wilkinson County, GA",7,2,8,1,1,5,24
"Bleckley County, GA",6,2,8,1,1,5,23
"Colquitt County, GA",7,1,8,1,1,5,23
"Dodge County, GA",6,2,8,1,1,5,23
"Early County, GA",6,2,8,1,1,5,23
"Emanuel County, GA",6,2,8,1,1,5,23
"Glascock County, GA",6,2,8,1,1,5,23
"Greene County, GA",6,2,8,1,1,5,23
"Irwin County, GA",6,2,8,1,1,5,23
"Jefferson County, GA",6,2,8,1,1,5,23
"Marion County, GA",6,1,8,1,1,6,23
"Miller County, GA",6,2,8,1,1,6,24
"Pulaski County, GA",6,2,8,1,1,5,23
"Tift County, GA",6,1,9,1,1,5,23
"Warren County, GA",6,2,8,1,1,5,23
"Washington County, GA",6,2,8,1,1,5,23
"Webster County, GA",6,2,8,1,1,5,23
"Whitfield County, GA",6,2,8,1,2,5,24
"Wilcox County, GA",6,2,8,1,1,5,23
"Calhoun County, GA",6,1,8,1,1,5,22
"Chatham County, GA",6,2,1,6,3,7,25
"Columbia County, GA",6,2,8,1,1,5,23
"Crisp County, GA",6,1,8,1,1,5,22
"Dooly County, GA",6,1,8,1,1,5,22
"Fayette County, GA",6,1,8,1,1,5,22
"Harris County, GA",7,2,7,1,1,5,23
"Jasper County, GA",6,1,8,1,1,5,22
"Macon County, GA",6,1,8,1,1,5,22
"Rockdale County, GA",6,1,8,1,1,5,22
"Schley County, GA",6,1,8,1,1,5,22
"Stewart County, GA",6,1,8,1,1,5,22
"Sumter County, GA",6,1,8,1,1,5,22
"Talbot County, GA",6,1,8,1,1,5,22
"Taylor County, GA",6,2,8,1,1,5,23
"Terrell County, GA",6,1,8,1,1,5,22
"Turner County, GA",6,1,8,1,1,5,22
"Walton County, GA",6,1,8,1,1,5,22
"Wilkes County, GA",6,1,8,1,1,5,22
"Barrow County, GA",6,1,8,1,1,5,22
"Carroll County, GA",4,1,8,1,1,5,20
"Dade County, GA",4,2,7,1,2,5,21
"Haralson County, GA",4,1,8,1,2,5,21
"Heard County, GA",4,1,8,1,1,5,20
"Meriwether County, GA",6,1,8,1,1,5,22
"Monroe County, GA",6,1,8,1,1,5,22
"Putnam County, GA",7,2,6,1,1,5,22
"Randolph County, GA",6,1,8,1,1,5,22
"Troup County, GA",4,1,8,1,1,5,20
"Upson County, GA",6,1,8,1,1,5,22
"Walker County, GA",6,2,6,1,2,5,22
"Floyd County, GA",6,2,5,1,2,5,21
"Gwinnett County, GA",4,1,8,1,1,5,20
"Henry County, GA",6,1,7,1,1,5,21
"Lamar County, GA",6,1,7,1,1,5,21
"Butts County, GA",6,1,6,1,1,5,20
"Gordon County, GA",6,2,4,1,2,5,20
"Morgan County, GA",6,1,6,1,1,5,20
"Newton County, GA",6,1,6,1,1,5,20
"Oglethorpe County, GA",6,1,6,1,1,5,20
"Paulding County, GA",6,1,6,1,1,5,20
"Pike County, GA",6,1,6,1,1,5,20
"Polk County, GA",6,1,5,1,2,5,20
"Spalding County, GA",6,1,6,1,1,5,20
"Bartow County, GA",6,1,4,1,2,5,19
"Chattooga County, GA",4,1,5,1,2,5,18
"Cherokee County, GA",3,1,7,1,1,5,18
"Elbert County, GA",4,1,6,1,1,5,18
"Murray County, GA",4,1,5,1,2,5,18
"Coweta County, GA",4,1,5,1,1,5,17
"Douglas County, GA",6,1,4,1,1,5,18
"Fulton County, GA",6,1,4,1,1,5,18
"Hart County, GA",4,1,5,1,1,5,17
"Oconee County, GA",6,1,4,1,1,5,18
"Franklin County, GA",4,1,4,1,1,5,16
"Madison County, GA",6,1,3,1,1,5,17
"Quitman County, GA",6,2,1,1,1,6,17
"Stephens County, GA",3,1,5,1,1,5,16
"Baldwin County, GA",7,2,1,1,1,5,17
"Banks County, GA",4,1,3,1,1,5,15
"Chattahoochee County, GA",7,2,1,1,1,5,17
"Dawson County, GA",3,1,4,1,1,5,15
"Forsyth County, GA",4,1,3,1,1,5,15
"Hall County, GA",4,1,3,1,1,5,15
"Jackson County, GA",4,1,3,1,1,5,15
"Jones County, GA",7,2,1,1,1,5,17
"Muscogee County, GA",7,2,1,1,1,5,17
"Pickens County, GA",3,1,5,1,1,4,15
"Union County, GA",4,1,3,1,2,4,15
"Fannin County, GA",3,1,3,1,2,4,14
"Hancock County, GA",6,2,1,1,1,5,16
"Lincoln County, GA",6,2,1,1,1,5,16
"Lumpkin County, GA",4,1,3,1,1,4,14
"Rabun County, GA",3,1,3,1,2,4,14
"Taliaferro County, GA",6,2,1,1,1,5,16
"Towns County, GA",3,1,3,1,2,4,14
"Clarke County, GA",6,1,1,1,1,5,15
"Clayton County, GA",6,1,1,1,1,5,15
"Cobb County, GA",6,1,1,1,1,5,15
"DeKalb County, GA",6,1,1,1,1,5,15
"Gilmer County, GA",3,1,3,1,1,4,13
"Habersham County, GA",3,1,3,1,1,4,13
"McDuffie County, GA",6,1,1,1,1,5,15
"White County, GA",3,1,3,1,1,4,13
"Van Buren County, IA",6,5,5,1,2,5,24
"Jefferson County, IA",4,6,5,1,2,4,22
"Davis County, IA",4,4,5,1,2,5,21
"Lee County, IA",4,5,5,1,1,5,21
"Muscatine County, IA",4,6,4,1,1,5,21
"Appanoose County, IA",4,4,4,1,2,5,20
"Calhoun County, IA",4,5,4,1,1,5,20
"Decatur County, IA",4,4,4,1,2,5,20
"Henry County, IA",4,4,4,1,2,5,20
"Jasper County, IA",4,5,4,1,1,5,20
"Louisa County, IA",4,5,4,1,1,5,20
"Lucas County, IA",4,4,4,1,2,5,20
"Monroe County, IA",4,4,4,1,2,5,20
"Polk County, IA",4,5,4,1,1,5,20
"Pottawattamie County, IA",6,2,5,1,1,5,20
"Wapello County, IA",4,4,5,1,2,4,20
"Washington County, IA",4,5,4,1,1,5,20
"Wayne County, IA",4,4,4,1,2,5,20
"Audubon County, IA",4,4,4,1,1,5,19
"Black Hawk County, IA",4,6,3,1,1,4,19
"Boone County, IA",4,4,4,1,1,5,19
"Bremer County, IA",4,6,3,1,1,4,19
"Carroll County, IA",4,4,4,1,1,5,19
"Cedar County, IA",4,5,3,1,1,5,19
"Crawford County, IA",4,4,4,1,1,5,19
"Dallas County, IA",4,4,4,1,1,5,19
"Des Moines County, IA",4,5,4,1,1,4,19
"Fremont County, IA",4,2,5,1,1,5,18
"Greene County, IA",4,4,4,1,1,5,19
"Hamilton County, IA",4,5,3,1,1,5,19
"Harrison County, IA",4,2,5,1,1,5,18
"Humboldt County, IA",4,5,3,1,1,5,19
"Ida County, IA",4,4,4,1,1,5,19
"Johnson County, IA",4,4,4,1,1,5,19
"Keokuk County, IA",4,4,4,1,1,5,19
"Mahaska County, IA",4,4,4,1,1,5,19
"Marion County, IA",4,4,4,1,1,5,19
"Mills County, IA",4,2,5,1,1,5,18
"Page County, IA",4,2,5,1,1,5,18
"Pocahontas County, IA",4,5,3,1,1,5,19
"Scott County, IA",4,5,4,1,1,4,19
"Shelby County, IA",4,4,4,1,1,5,19
"Story County, IA",4,5,4,1,1,4,19
"Warren County, IA",4,4,4,1,1,5,19
"Webster County, IA",4,5,4,1,1,4,19
"Adair County, IA",4,2,4,1,1,5,17
"Adams County, IA",4,2,4,1,1,5,17
"Benton County, IA",4,4,3,1,1,5,18
"Cerro Gordo County, IA",4,5,3,1,1,4,18
"Clarke County, IA",4,1,4,1,2,5,17
"Clay County, IA",4,5,3,1,1,4,18
"Clinton County, IA",3,4,3,1,2,5,18
"Franklin County, IA",4,5,3,1,1,4,18
"Grundy County, IA",4,5,3,1,1,4,18
"Guthrie County, IA",4,2,4,1,1,5,17
"Hardin County, IA",4,5,3,1,1,4,18
"Iowa County, IA",4,4,3,1,1,5,18
"Jackson County, IA",4,4,3,1,2,4,18
"Madison County, IA",4,2,4,1,1,5,17
